,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
6183,65,Christmas Avenue,Andrew,Barton,31,Son,Single,Male,Interior and spatial designer,None,None
6184,66,Christmas Avenue,Mandy,Mason,69,Head,Married,Female,"Retired Scientist, research (life sciences)",None,Catholic
6185,66,Christmas Avenue,Brian,Mason,68,Husband,Married,Male,Retired Radio broadcast assistant,None,Catholic
6186,66,Christmas Avenue,Sophie,Mason,26,Daughter,Single,Female,Textile designer,None,None
6187,67,Christmas Avenue,Teresa,Brown,47,Head,Divorced,Female,Special effects artist,None,Catholic
6188,67,Christmas Avenue,Mohammed,Brown,16,Son,NA,Male,Student,None,NA
6189,67,Christmas Avenue,Lindsey,Brown,13,Daughter,NA,Female,Student,None,NA
6190,67,Christmas Avenue,Jasmine,Brown,9,Daughter,NA,Female,Student,None,NA
6191,68,Christmas Avenue,Lydia,Smith,49,Head,Single,Female,Actor,None,None
6192,68,Christmas Avenue,Marie,Hall,46,None,Single,Female,Hydrologist,None,None
6193,68,Christmas Avenue,Melanie,Carr,62,None,Single,Female,Therapeutic radiographer,None,Christian
6194,69,Christmas Avenue,Carly,Williams,71,Head,Married,Female,Retired Clinical embryologist,None,Christian
6195,69,Christmas Avenue,Hugh,Williams,73,Husband,Married,Male,"Retired Sales professional, IT",None,None
6196,69,Christmas Avenue,Natalie,Williams,31,Daughter,Single,Female,Unemployed,None,Christian
6197,69,Christmas Avenue,Debra,Williams,27,Daughter,Divorced,Female,"Scientist, research (life sciences)",None,Christian
6198,70,Christmas Avenue,Denise,Kelly,33,Head,Single,Female,Unemployed,None,Muslim
6199,70,Christmas Avenue,Ann,Clark,31,None,Single,Female,Occupational hygienist,None,Christian
6200,70,Christmas Avenue,June,Brown,39,None,Single,Female,"Pharmacist, hospital",None,Christian
6201,71,Christmas Avenue,Sarah,Whitehead,74,Head,Married,Female,"Retired Loss adjuster, chartered",None,Christian
6202,71,Christmas Avenue,Lee,Whitehead,76,Husband,Married,Male,"Retired Scientist, clinical (histocompatibility and immunogenetics)",None,None
6203,71,Christmas Avenue,Amanda,Goodwin,25,Granddaughter,Single,Female,Estate manager/land agent,None,None
6204,71,Christmas Avenue,Paige,Martin,22,Granddaughter,Single,Female,University Student,None,None
6205,72,Christmas Avenue,Geoffrey,Brown,56,Head,Single,Male,"Radiographer, therapeutic",None,Christian
6206,72,Christmas Avenue,Rachael,Howells,47,None,Single,Female,"Lecturer, further education",None,Catholic
6207,72,Christmas Avenue,Wayne,Brown,44,None,Single,Male,Community arts worker,None,None
6208,72,Christmas Avenue,Jemma,Cook,58,None,Single,Female,Unemployed,None,None
6209,73,Christmas Avenue,Sharon,Watson,44,Head,Single,Female,Occupational psychologist,None,Catholic
6210,73,Christmas Avenue,Benjamin,Allen,46,Partner,Single,Male,Broadcast engineer,None,Catholic
6211,73,Christmas Avenue,Abdul,Watson,19,Son,Single,Male,Gaffer,None,None
6212,73,Christmas Avenue,Alison,Watson,0,Daughter,NA,Female,Child,None,NA
6213,74,Christmas Avenue,Wendy,Mitchell,84,Head,Divorced,Female,"Retired Teacher, special educational needs",None,None
6214,75,Christmas Avenue,Frank,Chapman,53,Head,Married,Male,"Programmer, applications",None,Catholic
6215,75,Christmas Avenue,June,Chapman,51,Wife,Married,Female,"Therapist, sports",None,Catholic
6216,75,Christmas Avenue,Gareth,Chapman,21,Son,Single,Male,University Student,None,Catholic
6217,75,Christmas Avenue,Mary,Chapman,10,Daughter,NA,Female,Student,None,NA
6218,76,Christmas Avenue,Holly,Graham,61,Head,Married,Female,"Teacher, secondary school",None,None
6219,76,Christmas Avenue,Leonard,Graham,68,Husband,Married,Male,Retired Operations geologist,None,None
6220,76,Christmas Avenue,Shannon,Graham,21,Daughter,Single,Female,University Student,None,None
6221,76,Christmas Avenue,Irene,Graham,17,Daughter,NA,Female,Student,None,NA
6222,77,Christmas Avenue,Elaine,Chan,38,Head,Married,Female,Barrister,None,Catholic
6223,77,Christmas Avenue,Clive,Chan,44,Husband,Married,Male,Barrister,None,Catholic
6224,77,Christmas Avenue,Alexander,Chan,6,Son,NA,Male,Student,None,NA
6225,78,Christmas Avenue,Jacob,Parker,41,Head,Married,Male,Unemployed,None,Methodist
6226,78,Christmas Avenue,Lucy,Parker,37,Wife,Married,Female,Operational researcher,None,None
6227,78,Christmas Avenue,Katie,Reed-Parker,11,Neice,NA,Female,Student,None,NA
6228,79,Christmas Avenue,Sally,Begum,42,Head,Single,Female,Art therapist,None,Catholic
6229,79,Christmas Avenue,Charlotte,Begum,11,Daughter,NA,Female,Student,None,NA
6230,79,Christmas Avenue,Jacob,Begum,9,Son,NA,Male,Student,None,NA
6231,80,Christmas Avenue,Barry,Cooper,21,Head,Single,Male,University Student,None,None
6232,80,Christmas Avenue,Jasmine,Smith,20,None,Single,Female,University Student,None,Catholic
6233,80,Christmas Avenue,Stephen,Hargreaves,19,None,Single,Male,University Student,None,None
6234,81,Christmas Avenue,Nathan,Wells,44,Head,Married,Male,Recycling officer,None,Muslim
6235,81,Christmas Avenue,Suzanne,Wells,46,Wife,Married,Female,Unemployed,None,Muslim
6236,82,Christmas Avenue,Rebecca,Fowler,35,Head,Married,Female,Agricultural engineer,None,None
6237,82,Christmas Avenue,Jonathan,Fowler,36,Husband,Married,Male,Adult nurse,None,None
6238,82,Christmas Avenue,Chloe,Fowler,13,Daughter,NA,Female,Student,None,NA
6239,82,Christmas Avenue,Reece,Phillips,12,Son,NA,Male,Student,None,NA
6240,82,Christmas Avenue,Shaun,Phillips,8,Son,NA,Male,Student,None,NA
6241,83,Christmas Avenue,Mohamed,Rhodes,54,Head,Married,Male,Call centre manager,None,None
6242,83,Christmas Avenue,Karen,Rhodes,54,Wife,Married,Female,Claims inspector/assessor,None,None
6243,83,Christmas Avenue,Lydia,Rhodes,21,Daughter,Single,Female,University Student,None,None
6244,83,Christmas Avenue,Holly,Rhodes,17,Daughter,NA,Female,Student,None,NA
6245,83,Christmas Avenue,Frederick,Rhodes,13,Son,NA,Male,Student,None,NA
6246,84,Christmas Avenue,Jacqueline,Ferguson,77,Head,Divorced,Female,Retired Emergency planning/management officer,None,Christian
6247,84,Christmas Avenue,Kenneth,Ferguson,45,Son,Single,Male,Records manager,None,None
6248,84,Christmas Avenue,Hollie,Ferguson,44,Daughter,Single,Female,Analytical chemist,None,Christian
6249,85,Christmas Avenue,Margaret,Lane,64,Head,Married,Female,Technical brewer,None,Christian
6250,85,Christmas Avenue,Maurice,Lane,68,Husband,Married,Male,Retired Rural practice surveyor,None,None
6251,85,Christmas Avenue,Dawn,Lane,34,Daughter,Single,Female,Museum/gallery exhibitions officer,None,Christian
6252,86,Christmas Avenue,Alexandra,Jones,40,Head,Married,Female,Education administrator,None,Catholic
6253,86,Christmas Avenue,Martin,Jones,42,Husband,Married,Male,Manufacturing engineer,None,None
6254,86,Christmas Avenue,Rachael,Jones,14,Daughter,NA,Female,Student,None,NA
6255,87,Christmas Avenue,Amy,Watson,59,Head,Married,Female,Product/process development scientist,None,Christian
6256,87,Christmas Avenue,Francis,Watson,66,Husband,Married,Male,"Pharmacist, community",None,None
6257,87,Christmas Avenue,Carl,Watson,20,Son,Single,Male,University Student,None,Christian
6258,87,Christmas Avenue,Katie,Watson,18,Daughter,Divorced,Female,Student,None,Christian
6259,88,Christmas Avenue,Samantha,Thomas,26,Head,Divorced,Female,Science writer,None,Catholic
6260,88,Christmas Avenue,Jenna,Thomas,5,Daughter,NA,Female,Student,None,NA
6261,88,Christmas Avenue,Sarah,Houghton,3,Daughter,NA,Female,Child,None,NA
6262,89,Christmas Avenue,Lindsey,Harrison,40,Head,Married,Female,"Administrator, sports",None,None
6263,89,Christmas Avenue,Sam,Harrison,42,Husband,Married,Male,International aid/development worker,None,None
6264,89,Christmas Avenue,Jill,Harrison,19,Daughter,Single,Female,University Student,None,None
6265,89,Christmas Avenue,Simon,Harrison,16,Son,NA,Male,Student,None,NA
6266,90,Christmas Avenue,Ashley,Clark,55,Head,Divorced,Male,"Designer, textile",None,None
6267,90,Christmas Avenue,Rachel,Clark,23,Daughter,Single,Female,Financial controller,None,None
6268,90,Christmas Avenue,Bryan,Clark,20,Son,Divorced,Male,University Student,None,None
6269,91,Christmas Avenue,Kelly,Humphreys,56,Head,Single,Female,Chartered certified accountant,None,None
6270,91,Christmas Avenue,Albert,Bailey,56,Partner,Single,Male,Hydrogeologist,None,None
6271,91,Christmas Avenue,Georgina,Humphreys,13,Daughter,NA,Female,Student,None,NA
6272,92,Christmas Avenue,Brenda,Davies,21,Head,Divorced,Female,University Student,None,None
6273,92,Christmas Avenue,Carol,Davies,3,Daughter,NA,Female,Child,None,NA
6274,92,Christmas Avenue,Anne,Barton,61,Lodger,Single,Female,Fisheries officer,None,Christian
6275,93,Christmas Avenue,Ashley,Godfrey,54,Head,Single,Male,Office manager,None,None
6276,93,Christmas Avenue,Eileen,Nicholls,37,None,Divorced,Female,Investment analyst,None,Catholic
6277,93,Christmas Avenue,Mary,Woodward,45,None,Single,Female,Estate agent,None,Methodist
6278,93,Christmas Avenue,Charlotte,Pearce,33,None,Single,Female,Oncologist,None,None
6279,94,Christmas Avenue,Sarah,Gill,62,Head,Married,Female,Cytogeneticist,None,Methodist
6280,94,Christmas Avenue,Mathew,Gill,63,Husband,Married,Male,Medical sales representative,None,Methodist
6281,94,Christmas Avenue,Peter,Gill,29,Son,Single,Male,Biomedical engineer,None,Methodist
6282,94,Christmas Avenue,Annette,Gill,25,Daughter,Single,female,"Programmer, multimedia",None,Methodist
6283,94,Christmas Avenue,Nathan,Gill,23,Son,Divorced,Male,Further education lecturer,None,Methodist
6284,95,Christmas Avenue,Carol,Kelly,38,Head,Single,Female,Unemployed,None,Christian
6285,95,Christmas Avenue,Declan,Atkinson,63,Lodger,Single,Male,"Production designer, theatre/television/film",None,None
6286,96,Christmas Avenue,Claire,Thomas,48,Head,Married,Female,Food technologist,None,None
6287,96,Christmas Avenue,Mark,Thomas,49,Husband,Married,Male,Recycling officer,None,None
6288,96,Christmas Avenue,Sheila,Thomas,17,Daughter,NA,Female,Student,None,NA
6289,97,Christmas Avenue,Brenda,Smith,54,Head,Single,Female,Newspaper journalist,None,Christian
6290,97,Christmas Avenue,Simon,Butler,52,Partner,Single,Male,Retail manager,None,Christian
6291,97,Christmas Avenue,Justin,Smith,22,Son,Divorced,Male,Barrister's clerk,None,Christian
6292,97,Christmas Avenue,Lynda,Smith,20,Daughter,Single,Female,University Student,None,Christian
6293,97,Christmas Avenue,Suzanne,Smith,17,Daughter,NA,Female,Student,None,NA
6294,98,Christmas Avenue,Malcolm,Adams,60,Head,Single,Male,Agricultural consultant,None,None
6295,98,Christmas Avenue,Fiona,Thomas,35,None,Single,Female,Unemployed,None,None
6296,98,Christmas Avenue,Alison,Clements,46,None,Single,Female,"Research officer, government",None,Catholic
6297,99,Christmas Avenue,Melissa,Rees,72,Head,Widowed,Female,Retired Agricultural engineer,None,Christian
6298,99,Christmas Avenue,Arthur,Rees,40,Son,Single,Male,"Research officer, political party",None,Christian
6299,99,Christmas Avenue,Rebecca,Rees,37,Daughter,Single,Female,Media planner,None,Christian
6300,100,Christmas Avenue,Bethan,Coles,46,Head,Divorced,Female,Unemployed,None,Christian
6301,100,Christmas Avenue,Callum,Coles,15,Son,NA,Male,Student,None,NA
6302,100,Christmas Avenue,Maureen,Coles,12,Daughter,NA,Female,Student,None,NA
6303,100,Christmas Avenue,Marie,Coles,8,Daughter,NA,Female,Student,None,NA
6304,100,Christmas Avenue,Timothy,Lowe,6,Son,NA,Male,Student,None,NA
6305,101,Christmas Avenue,Timothy,Poole,30,Head,Single,Male,Occupational therapist,None,None
6306,101,Christmas Avenue,Olivia,Brookes,30,Partner,Single,Female,"Journalist, magazine",None,None
6307,101,Christmas Avenue,Jennifer,Poole,2,Daughter,NA,Female,Child,None,NA
6308,102,Christmas Avenue,Sheila,Anderson,56,Head,Married,Female,"Nurse, children's",None,Christian
6309,102,Christmas Avenue,Mohammad,Anderson,58,Husband,Married,Male,Financial planner,None,Christian
6310,102,Christmas Avenue,Callum,Anderson,14,Son,NA,Male,Student,None,NA
6311,102,Christmas Avenue,Victor,Anderson,14,Son,NA,Male,Student,None,NA
6312,103,Christmas Avenue,Naomi,Hayes,38,Head,Married,Female,Pension scheme manager,None,None
6313,103,Christmas Avenue,Paul,Hayes,35,Husband,Married,Male,Unemployed,None,None
6314,103,Christmas Avenue,Jenna,Hayes,16,Daughter,NA,Female,Student,None,NA
6315,104,Christmas Avenue,Elizabeth,Wilkins,63,Head,Married,Female,Geographical information systems officer,None,Christian
6316,104,Christmas Avenue,Shaun,Wilkins,64,Husband,Married,Male,Immigration officer,None,Christian
6317,105,Christmas Avenue,Charlene,Murphy,36,Head,Divorced,Female,"Administrator, education",None,Methodist
6318,105,Christmas Avenue,Bethany,Murphy,3,Daughter,NA,Female,Child,None,NA
6319,105,Christmas Avenue,Shirley,Murphy,2,Daughter,NA,Female,Child,None,NA
6320,106,Christmas Avenue,Malcolm,Lees,38,Head,Single,Male,Associate Professor,None,Christian
6321,106,Christmas Avenue,Mohammad,Booth,52,None,Single,Male,Transport planner,None,None
6322,106,Christmas Avenue,Mohamed,Webb,54,None,Single,Male,Biomedical scientist,None,Methodist
6323,107,Christmas Avenue,Maria,Taylor,70,Head,Married,Female,Retired Risk analyst,None,Catholic
6324,107,Christmas Avenue,Danny,Taylor,73,Husband,Married,Male,Retired Production manager,None,Catholic
6325,107,Christmas Avenue,Fiona,Taylor,32,Daughter,Single,Female,Health visitor,None,Catholic
6326,108,Christmas Avenue,Mary,Hartley,27,Head,Single,Female,Exercise physiologist,None,None
6327,108,Christmas Avenue,Melanie,Bond,58,None,Single,Female,Operational investment banker,None,Christian
6328,108,Christmas Avenue,Arthur,Chapman,23,None,Single,Male,Network engineer,None,Jewish
6329,109,Christmas Avenue,Jennifer,Kennedy-Bell,53,Head,Married,Female,Dancer,None,None
6330,109,Christmas Avenue,Harry,Kennedy-Bell,59,Husband,Married,Male,Interior and spatial designer,None,None
6331,109,Christmas Avenue,Jacob,Kennedy-Bell,18,Son,Single,Male,Student,None,None
6332,109,Christmas Avenue,Norman,Kennedy-Bell,17,Son,NA,M,Student,None,NA
6333,110,Christmas Avenue,Brandon,Murray,33,Head,Single,Male,Unemployed,None,None
6334,110,Christmas Avenue,Dawn,Murray,0,Daughter,NA,Female,Child,None,NA
6335,111,Christmas Avenue,Alexandra,Brown,47,Head,Married,Female,Public librarian,None,Catholic
6336,111,Christmas Avenue,Malcolm,Brown,50,Husband,Married,Male,Airline pilot,None,None
6337,111,Christmas Avenue,Karl,Brown,21,Son,Divorced,Male,University Student,None,Catholic
6338,112,Christmas Avenue,Joyce,Morgan,43,Head,Married,Female,Unemployed,None,Catholic
6339,112,Christmas Avenue,Raymond,Morgan,44,Husband,Married,Male,Trading standards officer,None,Catholic
6340,112,Christmas Avenue,Sam,Morgan,13,Son,NA,Male,Student,None,NA
6341,113,Christmas Avenue,Katie,Jones,23,Head,Married,Female,Armed forces operational officer,None,None
6342,113,Christmas Avenue,William,Jones,28,Husband,Married,Male,Architectural technologist,None,None
6343,113,Christmas Avenue,Bryan,Jones,7,Son,NA,Male,Student,Blind,NA
6344,114,Christmas Avenue,Laura,Hayes,54,Head,Married,Female,Counselling psychologist,None,None
6345,114,Christmas Avenue,Dale,Hayes,56,Husband,Married,Male,Podiatrist,None,None
6346,114,Christmas Avenue,Melissa,Hayes,25,Daughter,Divorced,Female,Osteopath,None,None
6347,115,Christmas Avenue,Susan,Hodgson,39,Head,Married,Female,"Journalist, broadcasting",None,Catholic
6348,115,Christmas Avenue,Dennis,Hodgson,44,Husband,Married,Male,Airline pilot,None,Catholic
6349,115,Christmas Avenue,Jay,Hodgson,3,Son,NA,Male,Child,None,NA
6350,116,Christmas Avenue,Harriet,Ryan,43,Head,Married,Female,Film/video editor,None,None
6351,116,Christmas Avenue,Thomas,Ryan,42,Husband,Married,male,Recycling officer,None,None
6352,116,Christmas Avenue,Mohammad,Ryan,16,Son,NA,Male,Student,None,NA
6353,117,Christmas Avenue,Suzanne,Ahmed,33,Head,Single,Female,Unemployed,None,Catholic
6354,117,Christmas Avenue,Mohamed,Robinson,35,Partner,Single,Male,Health promotion specialist,None,Catholic
6355,117,Christmas Avenue,Harry,Ahmed,1,Son,NA,Male,Child,None,NA
6356,118,Christmas Avenue,Kirsty,Jones,53,Head,Married,Female,Fitness centre manager,None,Christian
6357,118,Christmas Avenue,Carl,Jones,56,Husband,Married,Male,"Administrator, local government",None,None
6358,118,Christmas Avenue,Owen,Jones,18,Son,Single,Male,Student,None,None
6359,118,Christmas Avenue,Sandra,Jones,14,Daughter,NA,Female,Student,None,NA
6360,119,Christmas Avenue,Melissa,Harrison,40,Head,Married,Female,Chartered certified accountant,None,None
6361,119,Christmas Avenue,Anthony,Harrison,42,Husband,Married,Male,Unemployed,None,None
6362,119,Christmas Avenue,Alexander,Harrison,8,Son,NA,Male,Student,None,NA
6363,119,Christmas Avenue,Marian,Harrison,6,Daughter,NA,Female,Student,None,NA
6364,119,Christmas Avenue,Robert,Harrison,5,Son,NA,Male,Student,None,NA
6365,120,Christmas Avenue,Debra,Clarke,70,Head,Married,Female,"Retired Restaurant manager, fast food",None,Christian
6366,120,Christmas Avenue,Mitchell,Clarke,66,Husband,Married,Male,Associate Professor,None,Christian
6367,120,Christmas Avenue,Jake,Clarke,37,Son,Single,Male,IT trainer,None,None
6368,121,Christmas Avenue,Suzanne,Horton,42,Head,Divorced,Female,"Engineer, structural",None,None
6369,121,Christmas Avenue,Ruth,Horton,13,Daughter,NA,Female,Student,None,NA
6370,122,Christmas Avenue,Pamela,Smith,53,Head,Married,Female,Information officer,None,Catholic
6371,122,Christmas Avenue,Geoffrey,Smith,55,Husband,Married,Male,Secretary/administrator,None,None
6372,122,Christmas Avenue,Alison,Smith,14,Step-Daughter,NA,Female,Student,None,NA
6373,123,Christmas Avenue,Yvonne,Scott,32,Head,Single,Female,Secondary school teacher,None,None
6374,123,Christmas Avenue,Dylan,Harris,34,Partner,Single,M,Unemployed,None,None
6375,123,Christmas Avenue,Bethan,Scott,0,Daughter,NA,Female,Child,None,NA
6376,124,Christmas Avenue,Jayne,Bell,52,Head,Widowed,Female,"Conservation officer, historic buildings",None,Christian
6377,124,Christmas Avenue,Raymond,Bell,25,Son,Divorced,Male,Chief Strategy Officer,None,None
6378,124,Christmas Avenue,Charles,Bell,25,Son,Single,Male,"Teacher, adult education",None,Christian
6379,125,Christmas Avenue,Abigail,Bradley,41,Head,Single,Female,"Conservation officer, nature",None,None
6380,125,Christmas Avenue,Kevin,Bradley,40,None,Single,Male,"Scientist, research (maths)",None,Christian
6381,125,Christmas Avenue,Sian,Woodward,60,None,Single,Female,"Restaurant manager, fast food",None,Christian
6382,126,Christmas Avenue,Denis,Moore,51,Head,Married,Male,Unemployed,None,None
6383,126,Christmas Avenue,Alexandra,Moore,49,Wife,Married,Female,Neurosurgeon,None,None
6384,127,Christmas Avenue,Cheryl,Lee,48,Head,Single,Female,Computer games developer,None,None
6385,127,Christmas Avenue,Trevor,Lee,17,Son,NA,Male,Student,None,NA
6386,127,Christmas Avenue,Ashley,Lee,14,Son,NA,Male,Student,None,NA
6387,128,Christmas Avenue,Hollie,Saunders,44,Head,Married,Female,Police officer,None,Methodist
6388,128,Christmas Avenue,Nathan,Saunders,46,Husband,Married,Male,Unemployed,None,None
6389,128,Christmas Avenue,Lewis,Saunders,10,Son,NA,Male,Student,None,NA
6390,128,Christmas Avenue,Henry,Saunders,9,Son,NA,Male,Student,None,NA
6391,128,Christmas Avenue,Mohamed,Saunders,6,Son,NA,Male,Student,None,NA
6392,128,Christmas Avenue,Jake,Saunders,4,Son,NA,Male,Child,None,NA
6393,128,Christmas Avenue,Rachel,Saunders,1,Daughter,NA,Female,Child,None,NA
6394,129,Christmas Avenue,Jennifer,Owen,24,Head,Married,Female,"Engineer, land",None,None
6395,129,Christmas Avenue,Nigel,Owen,28,Husband,Married,Male,"Education officer, environmental",None,None
6396,129,Christmas Avenue,Antony,Owen,4,Son,NA,Male,Child,None,NA
6397,130,Christmas Avenue,Kirsty,Price,36,Head,Divorced,Female,Location manager,None,None
6398,130,Christmas Avenue,Julia,Price,6,Daughter,NA,Female,Student,None,NA
6399,130,Christmas Avenue,Phillip,Price,1,Son,NA,Male,Child,None,NA
6400,131,Christmas Avenue,Kelly,Frost,42,Head,Single,Female,Associate Professor,None,Christian
6401,131,Christmas Avenue,Charles,Hill,41,Partner,Single,Male,Technical author,None,Christian
6402,131,Christmas Avenue,Cameron,Frost,0,Son,NA,Male,Child,None,NA
6403,132,Christmas Avenue,Roy,Hill,29,Head,Married,Male,"Scientist, research (physical sciences)",None,None
6404,132,Christmas Avenue,Lynda,Hill,31,Wife,Married,Female,Tax inspector,None,None
6405,132,Christmas Avenue,Stephanie,Hill,4,Daughter,NA,Female,Child,None,NA
6406,133,Christmas Avenue,Sharon,Smith,31,Head,Single,Female,Unemployed,None,Christian
6407,133,Christmas Avenue,Caroline,Riley-Smith,13,Adopted Daughter,NA,Female,Student,None,NA
6408,133,Christmas Avenue,Kate,Riley-Smith,9,Daughter,NA,Female,Student,None,NA
6409,134,Christmas Avenue,Natasha,Frost,33,Head,Married,Female,Health and safety inspector,None,Christian
6410,134,Christmas Avenue,Gary,Frost,34,Husband,Married,Male,"Research officer, political party",None,Christian
6411,134,Christmas Avenue,Alexander,Frost,3,Son,NA,Male,Child,None,NA
6412,134,Christmas Avenue,Gillian,Smith,55,Lodger,Single,Female,Sub,None,Christian
6413,135,Christmas Avenue,Hilary,Wilson,29,Head,Married,Female,Careers information officer,None,Catholic
6414,135,Christmas Avenue,Benjamin,Wilson,33,Husband,Married,Male,Hydrogeologist,None,None
6415,135,Christmas Avenue,Lee,Wilson,3,Son,NA,Male,Child,None,NA
6416,135,Christmas Avenue,Nicole,Wilson,2,Daughter,NA,Female,Child,None,NA
6417,136,Christmas Avenue,Vanessa,Parsons,35,Head,Single,Female,Government social research officer,None,Christian
6418,136,Christmas Avenue,Donald,Owens,37,Partner,Single,Male,Haematologist,None,None
6419,136,Christmas Avenue,Deborah,Walker-Parsons,10,Daughter,NA,Female,Student,None,NA
6420,136,Christmas Avenue,Eric,Walker-Parsons,8,Son,NA,Male,Student,None,NA
6421,137,Christmas Avenue,Ruth,Wright,41,Head,Single,Female,Production manager,None,None
6422,137,Christmas Avenue,Brett,Wright,14,Son,NA,Male,Student,None,NA
6423,137,Christmas Avenue,Lindsey,Wright,14,Daughter,NA,Female,Student,None,NA
6424,137,Christmas Avenue,Shaun,Wright,10,Son,NA,Male,Student,None,NA
6425,137,Christmas Avenue,Thomas,Wright,7,Son,NA,Male,Student,None,NA
6426,137,Christmas Avenue,Fiona,Wright,7,Daughter,NA,Female,Student,None,NA
6427,138,Christmas Avenue,Katherine,Miller,35,Head,Married,Female,Public affairs consultant,None,Catholic
6428,138,Christmas Avenue,Dylan,Miller,33,Husband,Married,Male,"Engineer, technical sales",None,Catholic
6429,138,Christmas Avenue,Bradley,Miller,16,Son,NA,Male,Student,None,NA
6430,139,Christmas Avenue,Shannon,Brown,40,Head,Single,Female,Human resources officer,None,Catholic
6431,139,Christmas Avenue,Jasmine,Brown,16,Daughter,NA,Female,Student,None,NA
6432,139,Christmas Avenue,Andrea,Brown,15,Daughter,NA,Female,Student,None,NA
6433,139,Christmas Avenue,Adam,Brown,11,Son,NA,Male,Student,None,NA
6434,139,Christmas Avenue,Jamie,Brown,5,Son,NA,Male,Student,None,NA
6435,140,Christmas Avenue,Jemma,Nicholson,37,Head,Single,Female,Software engineer,None,Catholic
6436,140,Christmas Avenue,Jenna,Nicholson,3,Daughter,NA,f,Child,None,NA
6437,140,Christmas Avenue,Patrick,Nicholson,2,Son,NA,Male,Child,None,NA
6438,141,Christmas Avenue,Bethan,Burgess,37,Head,Divorced,Female,Colour technologist,None,None
6439,141,Christmas Avenue,Joel,Burgess,5,Son,NA,Male,Student,None,NA
6440,141,Christmas Avenue,Terence,Burgess,4,Son,NA,M,Child,None,NA
6441,142,Christmas Avenue,Emily,Humphreys,32,Head,Single,Female,Warden/ranger,None,None
6442,142,Christmas Avenue,Lisa,Humphreys,11,Daughter,NA,Female,Student,None,NA
6443,143,Christmas Avenue,Lesley,Spencer,33,Head,Married,Female,"Therapist, music",None,Sikh
6444,143,Christmas Avenue,Mohammed,Spencer,40,Husband,Married,Male,"Administrator, charities/voluntary organisations",None,Sikh
6445,143,Christmas Avenue,Diana,Spencer,12,Daughter,NA,Female,Student,None,NA
6446,143,Christmas Avenue,Colin,Spencer,12,Son,NA,Male,Student,None,NA
6447,143,Christmas Avenue,Alex,Spencer,8,Son,NA,Male,Student,None,NA
6448,144,Christmas Avenue,Jack,Gray,39,Head,Single,Male,Solicitor,None,None
6449,145,Christmas Avenue,Joe,Jones,70,Head,Married,Male,"Retired Development worker, community",None,Catholic
6450,145,Christmas Avenue,Yvonne,Jones,68,Wife,Married,Female,Retired Youth worker,None,None
6451,146,Christmas Avenue,Zoe,Allan,36,Head,Single,Female,Chief Marketing Officer,None,Christian
6452,146,Christmas Avenue,Sally,Allan,6,Daughter,NA,Female,Student,None,NA
6453,146,Christmas Avenue,Toby,Hayes,2,Son,NA,Male,Child,None,NA
6454,147,Christmas Avenue,Maria,Crawford,31,Head,Married,Female,Medical physicist,None,None
6455,147,Christmas Avenue,Jason,Crawford,30,Husband,Married,Male,Equities trader,None,None
6456,147,Christmas Avenue,Antony,Crawford,2,Son,NA,Male,Child,None,NA
6457,148,Christmas Avenue,Arthur,Potter,60,Head,Married,Male,"Buyer, industrial",None,Methodist
6458,148,Christmas Avenue,Nicola,Potter,58,Wife,Married,f,Youth worker,None,Methodist
6459,148,Christmas Avenue,Gregory,Brown-Potter,29,Son,Single,Male,Unemployed,None,Methodist
6460,148,Christmas Avenue,Tom,Brown-Potter,22,Son,Divorced,male,University Student,None,Methodist
6461,149,Christmas Avenue,Geoffrey,Fox,44,Head,Married,Male,"Therapist, art",None,Catholic
6462,149,Christmas Avenue,Martyn,Fox,41,Husband,Married,Male,Charity fundraiser,None,Catholic
6463,149,Christmas Avenue,Harriet,Fox,2,Daughter,NA,Female,Child,None,NA
6464,150,Christmas Avenue,Barbara,Fuller,44,Head,Married,Female,"Scientist, research (physical sciences)",None,None
6465,150,Christmas Avenue,Iain,Fuller,44,Husband,Married,Male,Bookseller,None,None
6466,151,Christmas Avenue,Mandy,Elliott,39,Head,Married,Female,Psychiatric nurse,None,None
6467,151,Christmas Avenue,Malcolm,Elliott,39,Husband,Married,Male,Wellsite geologist,None,None
6468,151,Christmas Avenue,Ross,Elliott,2,Son,NA,male,Child,None,NA
6469,151,Christmas Avenue,Damian,Elliott,2,Son,NA,Male,Child,None,NA
6470,151,Christmas Avenue,Rachael,Potter,34,Lodger,Single,Female,Database administrator,None,Sikh
6471,151,Christmas Avenue,Tom,Burke,63,Lodger,Single,Male,"Chemist, analytical",None,Christian
6472,152,Christmas Avenue,Eleanor,Miller,27,Head,Widowed,Female,Fashion designer,None,None
6473,152,Christmas Avenue,Tracy,Webb-Miller,1,Daughter,NA,Female,Child,None,NA
6474,152,Christmas Avenue,Elizabeth,Mason,40,Lodger,Single,Female,Pharmacologist,None,None
6475,152,Christmas Avenue,Declan,Chapman,29,Lodger,Single,Male,Graphic designer,None,Catholic
6476,153,Christmas Avenue,Leonard,Power,42,Head,Single,Male,Unemployed,None,Christian
6477,153,Christmas Avenue,Ronald,Power,21,Son,Single,Male,University Student,None,Christian
6478,153,Christmas Avenue,Julia,Power,19,Daughter,Divorced,Female,University Student,None,Christian
